,year,sido,gugun,keyword,category,name,address,center
0,2020,서울특별시,강남구,어린이,어린이 박물관,서울상상나라,능동 능동로 216,"['37.528301694269', '127.036731423917']"
1,2020,서울특별시,강남구,어린이,놀이공원,어린이대공원,능동로 216,"['37.528301694269', '127.036731423917']"
2,2020,서울특별시,강남구,어린이,교육,용암토토어린이,용산동2가 47-1,"['37.528301694269', '127.036731423917']"
3,2020,서울특별시,강남구,어린이,아동 도서관,(주)어린이가천재,신당동 335-9,"['37.528301694269', '127.036731423917']"
4,2020,서울특별시,강남구,어린이,어린이집,어린이나라어린이집,구의동 250-16,"['37.528301694269', '127.036731423917']"
5,2020,서울특별시,강남구,어린이,소아 치과의사,서울어린이치과,44-15 강남구 서울특별시 KR,"['37.528301694269', '127.036731423917']"
6,2020,서울특별시,강남구,어린이,재단,초록우산 어린이재단,무교로 20,"['37.528301694269', '127.036731423917']"
7,2020,서울특별시,강남구,어린이,어린이집,(사단)어린이나라,구의1동 242-8,"['37.528301694269', '127.036731423917']"
8,2020,서울특별시,강남구,어린이,놀이터,새나라 어린이공원,후암동 두텁바위로,"['37.528301694269', '127.036731423917']"
9,2020,서울특별시,강남구,어린이,어린이집,(주)키즈엠어린이수영,번지 B 동 KR 서울특별시 강남구 신사동 528 보암빌딩 1층,"['37.528301694269', '127.036731423917']"
10,2020,서울특별시,강남구,어린이,협회 또는 조직,어린이재단빌딩,무교동 95,"['37.528301694269', '127.036731423917']"
11,2020,서울특별시,강남구,어린이,문화센터,어린이회관,능동 광나루로 441,"['37.528301694269', '127.036731423917']"
12,2020,서울특별시,강남구,어린이,학교,어린이병원학교,풍납동 388-1,"['37.528301694269', '127.036731423917']"
13,2020,서울특별시,강남구,어린이,소아 치과의사,바르고튼튼한어린이치과,선릉로162길 39,"['37.528301694269', '127.036731423917']"
14,2020,서울특별시,강남구,어린이,어린이 놀이시설,샛별어린이공원,사당5동 1144,"['37.528301694269', '127.036731423917']"
15,2020,서울특별시,강남구,어린이,소아 치과의사,CDC어린이치과병원,청담동 70-15,"['37.528301694269', '127.036731423917']"
16,2020,서울특별시,강남구,어린이,국립박물관,국립중앙박물관 어린이박물관,서빙고로 137,"['37.528301694269', '127.036731423917']"
17,2020,서울특별시,강남구,어린이,비영리단체,(사단)세계어린이태권도연맹,회나무로44길 36,"['37.528301694269', '127.036731423917']"
18,2020,서울특별시,강남구,어린이,어린이 놀이시설,어린이회관 눈썰매장,광나루로 441,"['37.528301694269', '127.036731423917']"
19,2020,서울특별시,강남구,어린이,어린이집,(사단)어린이세상,논현2동 263-9,"['37.528301694269', '127.036731423917']"
20,2020,서울특별시,강남구,어린이,어린이 박물관,서울상상나라,능동 능동로 216,"['37.524798414916', '127.052705726189']"
21,2020,서울특별시,강남구,어린이,놀이공원,어린이대공원,능동로 216,"['37.524798414916', '127.052705726189']"
22,2020,서울특별시,강남구,어린이,아동 도서관,(주)어린이가천재,신당동 335-9,"['37.524798414916', '127.052705726189']"
23,2020,서울특별시,강남구,어린이,교육,강동어린이회관,성내1동 556-1,"['37.524798414916', '127.052705726189']"
24,2020,서울특별시,강남구,어린이,어린이집,어린이나라어린이집,구의동 250-16,"['37.524798414916', '127.052705726189']"
25,2020,서울특별시,강남구,어린이,소아 치과의사,서울어린이치과,44-15 강남구 서울특별시 KR,"['37.524798414916', '127.052705726189']"
26,2020,서울특별시,강남구,어린이,재단,초록우산 어린이재단,무교로 20,"['37.524798414916', '127.052705726189']"
27,2020,서울특별시,강남구,어린이,어린이집,(사단)어린이나라,구의1동 242-8,"['37.524798414916', '127.052705726189']"
28,2020,서울특별시,강남구,어린이,어린이집,(주)키즈엠어린이수영,번지 B 동 KR 서울특별시 강남구 신사동 528 보암빌딩 1층,"['37.524798414916', '127.052705726189']"
29,2020,서울특별시,강남구,어린이,협회 또는 조직,어린이재단빌딩,무교동 95,"['37.524798414916', '127.052705726189']"
30,2020,서울특별시,강남구,어린이,문화센터,어린이회관,능동 광나루로 441,"['37.524798414916', '127.052705726189']"
31,2020,서울특별시,강남구,어린이,학교,어린이병원학교,풍납동 388-1,"['37.524798414916', '127.052705726189']"
32,2020,서울특별시,강남구,어린이,소아 치과의사,바르고튼튼한어린이치과,선릉로162길 39,"['37.524798414916', '127.052705726189']"
33,2020,서울특별시,강남구,어린이,소아 치과의사,CDC어린이치과병원,청담동 70-15,"['37.524798414916', '127.052705726189']"
34,2020,서울특별시,강남구,어린이,비영리단체,(사단)세계어린이태권도연맹,회나무로44길 36,"['37.524798414916', '127.052705726189']"
35,2020,서울특별시,강남구,어린이,국립박물관,국립중앙박물관 어린이박물관,서빙고로 137,"['37.524798414916', '127.052705726189']"
36,2020,서울특별시,강남구,어린이,공원,어린이왕국,석촌호수로,"['37.524798414916', '127.052705726189']"
37,2020,서울특별시,강남구,어린이,어린이 놀이시설,어린이회관 눈썰매장,광나루로 441,"['37.524798414916', '127.052705726189']"
38,2020,서울특별시,강남구,어린이,놀이터,행당어린이꿈공원,행당동 143-3,"['37.524798414916', '127.052705726189']"
39,2020,서울특별시,강남구,어린이,놀이터,어린이 놀이터,잠실3동 올림픽로 215,"['37.524798414916', '127.052705726189']"
40,2020,서울특별시,강동구,어린이,어린이 박물관,서울상상나라,능동 능동로 216,"['37.538315245953', '127.125148793383']"
41,2020,서울특별시,강동구,어린이,놀이공원,어린이대공원,능동로 216,"['37.538315245953', '127.125148793383']"
42,2020,서울특별시,강동구,어린이,학교,어린이나라어린이집,성내동 427번지 강동구 서울특별시 KR,"['37.538315245953', '127.125148793383']"
43,2020,서울특별시,강동구,어린이,교육,강동어린이회관,성내1동 556-1,"['37.538315245953', '127.125148793383']"
44,2020,서울특별시,강동구,어린이,어린이집,어린이나라어린이집,구의동 250-16,"['37.538315245953', '127.125148793383']"
45,2020,서울특별시,강동구,어린이,어린이집,(사단)어린이나라,구의1동 242-8,"['37.538315245953', '127.125148793383']"
46,2020,서울특별시,강동구,어린이,문화센터,어린이회관,능동 광나루로 441,"['37.538315245953', '127.125148793383']"
47,2020,서울특별시,강동구,어린이,놀이터,명일 어린이 놀이터,명일동 289-4,"['37.538315245953', '127.125148793383']"
48,2020,서울특별시,강동구,어린이,학교,어린이병원학교,풍납동 388-1,"['37.538315245953', '127.125148793383']"
49,2020,서울특별시,강동구,어린이,소아 치과의사,CDC어린이치과병원,청담동 70-15,"['37.538315245953', '127.125148793383']"
50,2020,서울특별시,강동구,어린이,공원,어린이왕국,석촌호수로,"['37.538315245953', '127.125148793383']"
51,2020,서울특별시,강동구,어린이,공원,미리내어린이공원,장안동,"['37.538315245953', '127.125148793383']"
52,2020,서울특별시,강동구,어린이,어린이 놀이시설,어린이회관 눈썰매장,광나루로 441,"['37.538315245953', '127.125148793383']"
53,2020,서울특별시,강동구,어린이,학교,영풍어린이공원,거여동,"['37.538315245953', '127.125148793383']"
54,2020,서울특별시,강동구,어린이,놀이터,어린이 놀이터,잠실3동 올림픽로 215,"['37.538315245953', '127.125148793383']"
55,2020,서울특별시,강동구,어린이,공원,염주골어린이공원,명일동,"['37.538315245953', '127.125148793383']"
56,2020,서울특별시,강동구,어린이,공원,늘봄어린이공원,장안동,"['37.538315245953', '127.125148793383']"
57,2020,서울특별시,강동구,어린이,공원,성내천어린이공원,성내동 463-4,"['37.538315245953', '127.125148793383']"
