id,year,sido,gugun,keyword,category,name,address,center
0,2020,서울특별시,강남구,어린이,학교,어린이나라어린이집,성내동 427번지 강동구 서울특별시 KR,"['37.487561327294', '127.103924752626']"
1,2020,서울특별시,강남구,어린이,어린이병원,서울특별시립어린이병원,헌릉로 260,"['37.487561327294', '127.103924752626']"
2,2020,서울특별시,강남구,어린이,교육,강동어린이회관,성내1동 556-1,"['37.487561327294', '127.103924752626']"
3,2020,서울특별시,강남구,어린이,버스 정류장,어린이공원,,"['37.487561327294', '127.103924752626']"
4,2020,서울특별시,강남구,어린이,소아 치과의사,서울어린이치과,44-15 강남구 서울특별시 KR,"['37.487561327294', '127.103924752626']"
5,2020,서울특별시,강남구,어린이,소아 치과의사,CDC어린이치과병원,청담동 70-15,"['37.487561327294', '127.103924752626']"
6,2020,서울특별시,강남구,어린이,놀이터,107동 어린이 놀이터,은행동 1932-6,"['37.487561327294', '127.103924752626']"
7,2020,서울특별시,강남구,어린이,소아 치과의사,바르고튼튼한어린이치과,선릉로162길 39,"['37.487561327294', '127.103924752626']"
8,2020,서울특별시,강남구,어린이,공원,어린이왕국,석촌호수로,"['37.487561327294', '127.103924752626']"
9,2020,서울특별시,강남구,어린이,어린이집,(사단)어린이세상,논현2동 263-9,"['37.487561327294', '127.103924752626']"
10,2020,서울특별시,강남구,어린이,학교,영풍어린이공원,거여동,"['37.487561327294', '127.103924752626']"
11,2020,서울특별시,강남구,어린이,놀이터,어린이 놀이터,잠실3동 올림픽로 215,"['37.487561327294', '127.103924752626']"
12,2020,서울특별시,강남구,어린이,학교,어린이병원학교,풍납동 388-1,"['37.487561327294', '127.103924752626']"
13,2020,서울특별시,강남구,어린이,공원,팔각정어린이공원,가락본동 118,"['37.487561327294', '127.103924752626']"
14,2020,서울특별시,강남구,어린이,공원,성내천어린이공원,성내동 463-4,"['37.487561327294', '127.103924752626']"
15,2020,서울특별시,강남구,어린이,체육관,수정어린이공원,문정동 동남로8길 21,"['37.487561327294', '127.103924752626']"
16,2020,서울특별시,강남구,어린이,유치원,한국어린이육영회부설유치원,신천동 7-12,"['37.487561327294', '127.103924752626']"
17,2020,서울특별시,강남구,어린이,도서관,푸른어린이문고,태평동 5572,"['37.487561327294', '127.103924752626']"
18,2020,서울특별시,강남구,어린이,소아 치과의사,아이자람어린이치과,위례광장로 310 KR A동 410호 우성트램타워,"['37.487561327294', '127.103924752626']"
19,2020,서울특별시,강남구,어린이,아동 도서관,중원어린이도서관,금광2동 산성대로408번길 42,"['37.487561327294', '127.103924752626']"
20,2020,서울특별시,강남구,어린이,어린이집,서울대학교 어린이보육지원센터 백합어린이집,낙성대동 산4-1,"['37.497967800874', '127.029759235501']"
21,2020,서울특별시,강남구,어린이,어린이병원,서울특별시립어린이병원,헌릉로 260,"['37.497967800874', '127.029759235501']"
22,2020,서울특별시,강남구,어린이,어린이집,어린이나라어린이집,구의동 250-16,"['37.497967800874', '127.029759235501']"
23,2020,서울특별시,강남구,어린이,소아 치과의사,서울어린이치과,44-15 강남구 서울특별시 KR,"['37.497967800874', '127.029759235501']"
24,2020,서울특별시,강남구,어린이,소아 치과의사,CDC어린이치과병원,청담동 70-15,"['37.497967800874', '127.029759235501']"
25,2020,서울특별시,강남구,어린이,어린이집,(사단)어린이나라,구의1동 242-8,"['37.497967800874', '127.029759235501']"
26,2020,서울특별시,강남구,어린이,어린이집,(주)키즈엠어린이수영,번지 B 동 KR 서울특별시 강남구 신사동 528 보암빌딩 1층,"['37.497967800874', '127.029759235501']"
27,2020,서울특별시,강남구,어린이,소아 치과의사,바르고튼튼한어린이치과,선릉로162길 39,"['37.497967800874', '127.029759235501']"
28,2020,서울특별시,강남구,어린이,어린이 놀이시설,샛별어린이공원,사당5동 1144,"['37.497967800874', '127.029759235501']"
29,2020,서울특별시,강남구,어린이,실내 놀이터,미키랜드어린이실내놀이터,봉천동 1000-1,"['37.497967800874', '127.029759235501']"
30,2020,서울특별시,강남구,어린이,국립박물관,국립중앙박물관 어린이박물관,서빙고로 137,"['37.497967800874', '127.029759235501']"
31,2020,서울특별시,강남구,어린이,비영리단체,(사단)세계어린이태권도연맹,회나무로44길 36,"['37.497967800874', '127.029759235501']"
32,2020,서울특별시,강남구,어린이,공원,어린이왕국,석촌호수로,"['37.497967800874', '127.029759235501']"
33,2020,서울특별시,강남구,어린이,놀이터,꿈나무어린이공원,이촌로,"['37.497967800874', '127.029759235501']"
34,2020,서울특별시,강남구,어린이,어린이집,(사단)어린이세상,논현2동 263-9,"['37.497967800874', '127.029759235501']"
35,2020,서울특별시,강남구,어린이,놀이공원,어린이대공원,능동로 216,"['37.497967800874', '127.029759235501']"
36,2020,서울특별시,강남구,어린이,도서관,국립어린이청소년도서관,테헤란로7길 21,"['37.497967800874', '127.029759235501']"
